rank,gk_sp_id,player_name,season_id,season_name,grade,matches,saves,goals,save_pct
1011,284179783,랄프 페어만,284,RTN (Returnees),9,395,998,1019,0.4948
1012,828230621,잔루이지 돈나룸마,828,BLD (Best Legends),9,2767,6832,6976,0.4948
1013,517252154,M. 카르네세키,517,25 PL (25 Premium Live),10,243,612,625,0.4947
1014,294238570,송범근,294,21 KFA (21 KFA),11,1414,3404,3477,0.4947
1015,289019580,이운재,289,CC (CenturyClub),10,3379,8508,8691,0.4947
1016,256186569,스벤 울라이히,256,BTB (Back to Back),8,870,2225,2273,0.4947
1017,518234328,김형근,518,26KLeague (26KLeague),8,487,1261,1289,0.4945
1018,252051539,에드윈 반데르사르,252,CAP (Captain),10,654,1571,1606,0.4945
1019,231193041,케일러 나바스,231,VTR (Veteran),8,736,1961,2005,0.4945
1020,231176550,다비드 오스피나,231,VTR (Veteran),11,228,579,592,0.4944
1021,814234642,에두아르 멘디,814,UT (Unexpected Transfer),8,892,2135,2183,0.4944
1022,856262621,G. 마마르다슈빌리,856,25 UCL (25 UEFA Champions League),8,1785,4458,4559,0.4944
1023,517235840,M. 디 그레고리오,517,25 PL (25 Premium Live),9,362,918,939,0.4943
1024,293234748,구성윤,293,22 KFA (22 KFA),13,1725,4196,4292,0.4943
1025,265234102,I. 라두,265,LOL (LEGEND OF THE LOAN),11,276,628,643,0.4941
1026,517204935,조던 픽포드,517,25 PL (25 Premium Live),10,230,543,556,0.4941
1027,201167495,마누엘 노이어,201,NHD (National Hero Debut),12,700,1668,1708,0.4941
1028,225136594,김병지,225,TKL (TEAM K LEAGUE),9,258,693,710,0.4939
1029,517212831,알리송,517,25 PL (25 Premium Live),9,284,690,707,0.4939
1030,828230621,잔루이지 돈나룸마,828,BLD (Best Legends),11,503,1196,1226,0.4938
1031,804262621,G. 마마르다슈빌리,804,23NG (23 NEW GENERATION),8,11292,27421,28109,0.4938
1032,231167495,마누엘 노이어,231,VTR (Veteran),8,1007,2486,2549,0.4937
1033,256051539,에드윈 반데르사르,256,BTB (Back to Back),9,3248,7947,8151,0.4937
1034,518199259,김다솔,518,26KLeague (26KLeague),10,307,767,787,0.4936
1035,513192448,M. 테어슈테겐,513,23 PL (23 Premium Live),8,1531,3722,3820,0.4935
1036,517215316,헤로니모 룰리,517,25 PL (25 Premium Live),8,2159,5327,5468,0.4935
1037,207167495,마누엘 노이어,207,TT (Top Transfer),11,595,1492,1532,0.4934
1038,246211990,O. 블라호디모스,246,UP (Unsung Players),10,554,1417,1455,0.4934
1039,274192119,티보 쿠르투아,274,RMCF (Real Madrid Ambassador),9,3980,9959,10227,0.4934
1040,237165735,브래드 존스,237,MC (Multi-League Champions),11,305,734,754,0.4933
1041,225136594,김병지,225,TKL (TEAM K LEAGUE),11,674,1738,1786,0.4932
1042,289019580,이운재,289,CC (CenturyClub),8,1793,4494,4619,0.4931
1043,827048940,페트르 체흐,827,BDO (Ballon d'Or),8,2567,6321,6497,0.4931
1044,237193105,알퐁스 아레올라,237,MC (Multi-League Champions),9,352,826,849,0.4931
1045,517223885,알렉산더 뉘벨,517,25 PL (25 Premium Live),10,243,642,660,0.4931
1046,206199482,안토니 로페스,206,TB (Tournament Best),13,1074,2597,2670,0.4931
1047,517235840,M. 디 그레고리오,517,25 PL (25 Premium Live),8,6042,14644,15060,0.4930
1048,252167495,마누엘 노이어,252,CAP (Captain),8,1790,4411,4538,0.4929
1049,231199987,야스퍼르 실러선,231,VTR (Veteran),8,966,2388,2457,0.4929
1050,517209981,야신 부누,517,25 PL (25 Premium Live),8,667,1622,1669,0.4929
1051,291223952,다비드 소리아,291,23HW (23 Hard Worker),8,236,551,567,0.4928
1052,237199987,야스퍼르 실러선,237,MC (Multi-League Champions),8,5675,14321,14738,0.4928
1053,265225116,알렉스 메레트,265,LOL (LEGEND OF THE LOAN),9,4303,10655,10969,0.4927
1054,237190053,페터 슈마이켈,237,MC (Multi-League Champions),9,859,2116,2179,0.4927
1055,237193041,케일러 나바스,237,MC (Multi-League Champions),8,516,1274,1312,0.4927
1056,256048940,페트르 체흐,256,BTB (Back to Back),11,1598,3875,3992,0.4926
1057,283230621,잔루이지 돈나룸마,283,HG (Home Grown),8,8051,20128,20738,0.4925
