rank,gk_sp_id,player_name,season_id,season_name,grade,matches,saves,goals,save_pct
1241,207167495,마누엘 노이어,207,TT (Top Transfer),9,242,597,642,0.4818
1242,517246139,이냐키 페냐,517,25 PL (25 Premium Live),11,1309,3087,3323,0.4816
1243,270221087,파우 로페스,270,SPL (Spotlight),8,960,2403,2587,0.4816
1244,834252154,M. 카르네세키,834,24 UCL (24 UEFA Champions League),8,352,834,898,0.4815
1245,280212831,알리송,280,22 UCL (22 UEFA Champions League),8,3125,7167,7717,0.4815
1246,254048940,페트르 체흐,254,CFA (Chelsea FC Ambassador),10,657,1584,1706,0.4815
1247,518234748,구성윤,518,26KLeague (26KLeague),10,931,2287,2464,0.4814
1248,256193105,알퐁스 아레올라,256,BTB (Back to Back),9,1079,2561,2760,0.4813
1249,517192563,베른트 레노,517,25 PL (25 Premium Live),11,282,678,731,0.4812
1250,207000805,옌스 레만,207,TT (Top Transfer),13,318,716,772,0.4812
